time	vol_tube_outer	vol_tube_inner	vol_tube_total	vol_blue_inner	vol_blue_outer	vol_blue_total	vol_grey_inner	vol_grey_outer	vol_grey_total	ppr_blue_inner	ppr_blue_outer	ppr_blue_total	ppr_grey_inner	ppr_grey_outer	ppr_grey_total	average_capillary_pressure_inside	average_capillary_pressure_outside	
0	8063.4	8944	17007.4	272.018	8063.4	8335.41	8671.98	0	8671.98	0.0304134	1	0.490105	0.969587	0	0.509895	0.523016	-nan	
11.5176	8063.4	8944	17007.4	1988.73	6346.68	8335.41	6955.27	1716.71	8671.98	0.222354	0.787098	0.490105	0.777646	0.212902	0.509895	0.478648	0.33302	
19.9546	8063.4	8944	17007.4	2320.08	6015.33	8335.41	6623.92	2048.06	8671.98	0.259401	0.746005	0.490105	0.740599	0.253995	0.509895	0.497168	0.333179	
27.6144	8063.4	8944	17007.4	2540.82	5794.59	8335.41	6403.18	2268.8	8671.98	0.284081	0.718629	0.490105	0.715919	0.281371	0.509895	0.46938	0.33356	
36.3762	8063.4	8944	17007.4	2750.39	5585.02	8335.41	6193.61	2478.37	8671.98	0.307512	0.692639	0.490105	0.692488	0.307361	0.509895	0.529805	0.333194	
45.2698	8063.4	8944	17007.4	2959.07	5376.34	8335.41	5984.93	2687.05	8671.98	0.330844	0.666759	0.490105	0.669156	0.333241	0.509895	0.488983	0.334349	
54.42	8063.4	8944	17007.4	3166.68	5168.73	8335.41	5777.32	2894.66	8671.98	0.354057	0.641012	0.490105	0.645943	0.358988	0.509895	0.538613	0.33345	
63.4168	8063.4	8944	17007.4	3304.91	5030.5	8335.41	5639.09	3032.89	8671.98	0.369511	0.623869	0.490105	0.630489	0.376131	0.509895	0.523141	0.333407	
72.1969	8063.4	8944	17007.4	3380.39	4955.03	8335.41	5563.61	3108.37	8671.98	0.37795	0.614509	0.490105	0.62205	0.385491	0.509895	0.533488	0.333465	
80.8419	8063.4	8944	17007.4	3425.86	4909.55	8335.42	5518.14	3153.84	8671.98	0.383035	0.608869	0.490105	0.616965	0.391131	0.509895	0.519605	0.333622	
90.1809	8063.4	8944	17007.4	3586.28	4749.13	8335.42	5357.72	3314.26	8671.98	0.400971	0.588974	0.490105	0.599029	0.411026	0.509895	0.506876	0.333885	
99.5072	8063.4	8944	17007.4	3661.18	4674.23	8335.42	5282.82	3389.16	8671.98	0.409345	0.579685	0.490105	0.590655	0.420315	0.509895	0.51665	0.333235	
108.974	8063.4	8944	17007.4	3677.02	4658.39	8335.42	5266.98	3405	8671.98	0.411116	0.577721	0.490105	0.588884	0.422279	0.509895	0.522294	0.333171	
118.417	8063.4	8944	17007.4	3719.89	4615.52	8335.42	5224.11	3447.87	8671.98	0.415909	0.572404	0.490105	0.584091	0.427596	0.509895	0.533633	0.33368	
127.402	8063.4	8944	17007.4	3779.17	4556.25	8335.42	5164.83	3507.15	8671.98	0.422537	0.565053	0.490105	0.577463	0.434947	0.509895	0.55224	0.3335	
136.928	8063.4	8944	17007.4	3811.53	4523.88	8335.42	5132.47	3539.51	8671.98	0.426155	0.56104	0.490105	0.573845	0.43896	0.509895	0.541038	0.333118	
