time	vol_tube_outer	vol_tube_inner	vol_tube_total	vol_blue_inner	vol_blue_outer	vol_blue_total	vol_grey_inner	vol_grey_outer	vol_grey_total	ppr_blue_inner	ppr_blue_outer	ppr_blue_total	ppr_grey_inner	ppr_grey_outer	ppr_grey_total	average_capillary_pressure_inside	average_capillary_pressure_outside	
0	8063.4	8944	17007.4	0	2087.33	2087.33	8944	5976.07	14920.1	0	0.258865	0.122731	1	0.741135	0.877269	-nan	0.333371	
76.5424	8063.4	8944	17007.4	21.0402	2066.29	2087.33	8922.96	5997.11	14920.1	0.00235244	0.256255	0.122731	0.997648	0.743745	0.877269	0.685448	0.333259	
144.14	8063.4	8944	17007.4	103.72	1983.61	2087.33	8840.28	6079.79	14920.1	0.0115966	0.246002	0.122731	0.988403	0.753998	0.877269	0.598253	0.333283	
290.677	8063.4	8944	17007.4	151.523	1935.81	2087.33	8792.48	6127.59	14920.1	0.0169413	0.240073	0.122731	0.983059	0.759927	0.877269	0.571679	0.33382	
343.469	8063.4	8944	17007.4	217.59	1869.74	2087.33	8726.41	6193.66	14920.1	0.024328	0.23188	0.122731	0.975672	0.76812	0.877269	0.676806	0.333749	
411.463	8063.4	8944	17007.4	241.61	1845.72	2087.33	8702.39	6217.68	14920.1	0.0270137	0.228901	0.122731	0.972986	0.771099	0.877269	0.788673	0.334265	
475.306	8063.4	8944	17007.4	302.46	1784.87	2087.33	8641.54	6278.53	14920.1	0.033817	0.221355	0.122731	0.966183	0.778645	0.877269	0.608325	0.334554	
1121.22	8063.4	8944	17007.4	307.029	1780.3	2087.33	8636.97	6283.1	14920.1	0.0343279	0.220788	0.122731	0.965672	0.779212	0.877269	-nan	0.333536	
8.98665e+13	8063.4	8944	17007.4	321.875	1761.99	2083.86	8622.13	6301.41	14923.5	0.0359878	0.218517	0.122527	0.964012	0.781483	0.877473	0.405742	0.332923	
8.98665e+13	8063.4	8944	17007.4	369.542	1714.32	2083.86	8574.46	6349.07	14923.5	0.0413174	0.212605	0.122527	0.958683	0.787395	0.877473	0.508342	0.334688	
8.98665e+13	8063.4	8944	17007.4	405.295	1678.57	2083.86	8538.71	6384.83	14923.5	0.0453147	0.208171	0.122527	0.954685	0.791829	0.877473	0.517662	0.33412	
8.98665e+13	8063.4	8944	17007.4	402.783	1681.08	2083.86	8541.22	6382.31	14923.5	0.0450338	0.208483	0.122527	0.954966	0.791517	0.877473	-nan	0.334175	
8.98665e+13	8063.4	8944	17007.4	415.48	1668.38	2083.86	8528.52	6395.01	14923.5	0.0464535	0.206908	0.122527	0.953547	0.793092	0.877473	0.438556	0.332604	
8.98665e+13	8063.4	8944	17007.4	424.605	1659.26	2083.86	8519.4	6404.14	14923.5	0.0474737	0.205777	0.122527	0.952526	0.794223	0.877473	-nan	0.331505	
8.98665e+13	8063.4	8944	17007.4	424.182	1659.68	2083.86	8519.82	6403.71	14923.5	0.0474265	0.205829	0.122527	0.952574	0.794171	0.877473	-nan	0.332836	
8.98665e+13	8063.4	8944	17007.4	429.238	1654.63	2083.86	8514.76	6408.77	14923.5	0.0479917	0.205202	0.122527	0.952008	0.794798	0.877473	1.01199	0.334379	
8.98665e+13	8063.4	8944	17007.4	461.059	1622.8	2083.86	8482.94	6440.59	14923.5	0.0515495	0.201256	0.122527	0.948451	0.798744	0.877473	-nan	0.331709	
8.98665e+13	8063.4	8944	17007.4	518.921	1564.94	2083.86	8425.08	6498.45	14923.5	0.0580189	0.19408	0.122527	0.941981	0.80592	0.877473	0.403983	0.332483	
8.98665e+13	8063.4	8944	17007.4	520.81	1563.05	2083.86	8423.19	6500.34	14923.5	0.0582301	0.193846	0.122527	0.94177	0.806154	0.877473	-nan	0.332948	
8.98665e+13	8063.4	8944	17007.4	524.973	1558.89	2083.86	8419.03	6504.5	14923.5	0.0586955	0.193329	0.122527	0.941305	0.806671	0.877473	1.01502	0.332836	
8.98665e+13	8063.4	8944	17007.4	532.648	1551.22	2083.86	8411.35	6512.18	14923.5	0.0595537	0.192377	0.122527	0.940446	0.807623	0.877473	0.567381	0.333593	
8.98665e+13	8063.4	8944	17007.4	541.145	1542.72	2083.86	8402.86	6520.68	14923.5	0.0605037	0.191324	0.122527	0.939496	0.808676	0.877473	-nan	0.332324	
8.98665e+13	8063.4	8944	17007.4	541.67	1542.19	2083.86	8402.33	6521.2	14923.5	0.0605623	0.191259	0.122527	0.939438	0.808741	0.877473	-nan	0.332836	
8.98665e+13	8063.4	8944	17007.4	561.011	1522.85	2083.86	8382.99	6540.54	14923.5	0.0627248	0.18886	0.122527	0.937275	0.81114	0.877473	-nan	0.332183	
8.98665e+13	8063.4	8944	17007.4	560.878	1522.99	2083.86	8383.12	6540.41	14923.5	0.0627099	0.188876	0.122527	0.93729	0.811124	0.877473	-nan	0.332836	
8.98665e+13	8063.4	8944	17007.4	559.001	1524.86	2083.86	8385	6538.53	14923.5	0.0625002	0.189109	0.122527	0.9375	0.810891	0.877473	0.572535	0.334175	
8.98665e+13	8063.4	8944	17007.4	558.186	1525.68	2083.86	8385.82	6537.72	14923.5	0.0624089	0.18921	0.122527	0.937591	0.81079	0.877473	-nan	0.332836	
8.98665e+13	8063.4	8944	17007.4	559.329	1524.53	2083.86	8384.67	6538.86	14923.5	0.0625368	0.189068	0.122527	0.937463	0.810932	0.877473	0.494282	0.334115	
8.98665e+13	8063.4	8944	17007.4	559.352	1524.51	2083.86	8384.65	6538.88	14923.5	0.0625393	0.189066	0.122527	0.937461	0.810934	0.877473	-nan	0.333622	
8.98665e+13	8063.4	8944	17007.4	559.352	1524.51	2083.86	8384.65	6538.88	14923.5	0.0625393	0.189066	0.122527	0.937461	0.810934	0.877473	-nan	0.332836	
8.98665e+13	8063.4	8944	17007.4	558.85	1525.01	2083.86	8385.15	6538.38	14923.5	0.0624832	0.189128	0.122527	0.937517	0.810872	0.877473	0.4775	0.333176	
8.98665e+13	8063.4	8944	17007.4	562.779	1521.08	2083.86	8381.22	6542.31	14923.5	0.0629225	0.188641	0.122527	0.937077	0.811359	0.877473	-nan	0.334175	
8.98665e+13	8063.4	8944	17007.4	569.733	1514.13	2083.86	8374.27	6549.27	14923.5	0.0637	0.187778	0.122527	0.9363	0.812222	0.877473	0.445657	0.332836	
8.98665e+13	8063.4	8944	17007.4	571.325	1512.54	2083.86	8372.68	6550.86	14923.5	0.063878	0.187581	0.122527	0.936122	0.812419	0.877473	-nan	0.332836	
8.98665e+13	8063.4	8944	17007.4	570.517	1513.35	2083.86	8373.48	6550.05	14923.5	0.0637877	0.187681	0.122527	0.936212	0.812319	0.877473	-nan	0.335007	
8.98665e+13	8063.4	8944	17007.4	574.115	1509.75	2083.86	8369.89	6553.65	14923.5	0.06419	0.187235	0.122527	0.93581	0.812765	0.877473	-nan	0.333464	
8.98665e+13	8063.4	8944	17007.4	575.095	1508.77	2083.86	8368.91	6554.63	14923.5	0.0642995	0.187113	0.122527	0.9357	0.812887	0.877473	0.444724	0.333948	
8.98665e+13	8063.4	8944	17007.4	578.746	1505.12	2083.86	8365.26	6558.28	14923.5	0.0647077	0.18666	0.122527	0.935292	0.81334	0.877473	0.866154	0.333389	
8.98665e+13	8063.4	8944	17007.4	580.338	1503.53	2083.86	8363.66	6559.87	14923.5	0.0648857	0.186463	0.122527	0.935114	0.813537	0.877473	-nan	0.332836	
8.98665e+13	8063.4	8944	17007.4	580.338	1503.53	2083.86	8363.66	6559.87	14923.5	0.0648857	0.186463	0.122527	0.935114	0.813537	0.877473	-nan	0.332836	
8.98665e+13	8063.4	8944	17007.4	600.944	1482.92	2083.86	8343.06	6580.48	14923.5	0.0671897	0.183908	0.122527	0.93281	0.816092	0.877473	0.507009	0.332836	
8.98665e+13	8063.4	8944	17007.4	606.446	1477.42	2083.86	8337.55	6585.98	14923.5	0.0678048	0.183225	0.122527	0.932195	0.816775	0.877473	-nan	0.332836	
8.98665e+13	8063.4	8944	17007.4	612.917	1470.95	2083.86	8331.08	6592.45	14923.5	0.0685282	0.182423	0.122527	0.931472	0.817577	0.877473	-nan	0.333622	
8.98665e+13	8063.4	8944	17007.4	612.785	1471.08	2083.86	8331.22	6592.32	14923.5	0.0685135	0.182439	0.122527	0.931487	0.817561	0.877473	1.01616	0.332836	
8.98665e+13	8063.4	8944	17007.4	612.829	1471.03	2083.86	8331.17	6592.36	14923.5	0.0685184	0.182434	0.122527	0.931482	0.817566	0.877473	0.478599	0.333321	
8.98665e+13	8063.4	8944	17007.4	648.373	1435.49	2083.86	8295.63	6627.91	14923.5	0.0724925	0.178026	0.122527	0.927508	0.821974	0.877473	-nan	0.332836	
8.98665e+13	8063.4	8944	17007.4	647.488	1436.38	2083.86	8296.51	6627.02	14923.5	0.0723935	0.178135	0.122527	0.927606	0.821865	0.877473	-nan	0.332836	
8.98665e+13	8063.4	8944	17007.4	648.072	1435.79	2083.86	8295.93	6627.6	14923.5	0.0724589	0.178063	0.122527	0.927541	0.821937	0.877473	-nan	0.332836	
8.98665e+13	8063.4	8944	17007.4	646.105	1437.76	2083.86	8297.9	6625.64	14923.5	0.0722389	0.178307	0.122527	0.927761	0.821693	0.877473	0.568179	0.334081	
8.98665e+13	8063.4	8944	17007.4	645.558	1438.31	2083.86	8298.44	6625.09	14923.5	0.0721778	0.178375	0.122527	0.927822	0.821625	0.877473	0.676155	0.331886	
