time	vol_tube_outer	vol_tube_inner	vol_tube_total	vol_blue_inner	vol_blue_outer	vol_blue_total	vol_grey_inner	vol_grey_outer	vol_grey_total	ppr_blue_inner	ppr_blue_outer	ppr_blue_total	ppr_grey_inner	ppr_grey_outer	ppr_grey_total	average_capillary_pressure_inside	average_capillary_pressure_outside	
0	8063.4	8944	17007.4	2172.19	8063.4	10235.6	6771.82	0	6771.82	0.242865	1	0.601831	0.757135	0	0.398169	0.543345	-nan	
10.1795	8063.4	8944	17007.4	2484.87	7750.71	10235.6	6459.13	312.686	6771.82	0.277825	0.961222	0.601831	0.722175	0.0387784	0.398169	0.47252	0.331089	
18.3755	8063.4	8944	17007.4	3056.18	7179.4	10235.6	5887.82	883.997	6771.81	0.341702	0.890369	0.601831	0.658298	0.109631	0.398169	0.455121	0.3332	
26.0953	8063.4	8944	17007.4	3340.84	6894.74	10235.6	5603.16	1168.65	6771.81	0.373529	0.855067	0.601831	0.626471	0.144933	0.398169	0.48138	0.332987	
34.1399	8063.4	8944	17007.4	3559.91	6675.67	10235.6	5384.09	1387.72	6771.81	0.398022	0.827898	0.601831	0.601978	0.172102	0.398169	0.499477	0.332472	
42.5506	8063.4	8944	17007.4	3697.38	6538.2	10235.6	5246.62	1525.2	6771.81	0.413393	0.810849	0.601831	0.586607	0.189151	0.398169	0.490335	0.332278	
51.4531	8063.4	8944	17007.4	3815.22	6420.36	10235.6	5128.78	1643.03	6771.81	0.426568	0.796235	0.601831	0.573432	0.203765	0.398169	0.524253	0.332865	
60.9439	8063.4	8944	17007.4	3950.64	6284.94	10235.6	4993.36	1778.45	6771.81	0.441708	0.779441	0.601831	0.558292	0.220559	0.398169	0.489727	0.333438	
69.9118	8063.4	8944	17007.4	4055.73	6179.85	10235.6	4888.27	1883.55	6771.81	0.453459	0.766408	0.601831	0.546541	0.233592	0.398169	0.519527	0.332503	
79.2781	8063.4	8944	17007.4	4167.72	6067.86	10235.6	4776.28	1995.53	6771.81	0.46598	0.752519	0.601831	0.53402	0.247481	0.398169	0.496378	0.333183	
89.0204	8063.4	8944	17007.4	4320.26	5915.33	10235.6	4623.74	2148.07	6771.81	0.483034	0.733602	0.601831	0.516966	0.266398	0.398169	0.512766	0.333691	
98.6497	8063.4	8944	17007.4	4414.94	5820.64	10235.6	4529.06	2242.75	6771.81	0.49362	0.72186	0.601831	0.50638	0.27814	0.398169	0.526765	0.334602	
108.702	8063.4	8944	17007.4	4502.97	5732.62	10235.6	4441.04	2330.78	6771.81	0.503462	0.710944	0.601831	0.496538	0.289056	0.398169	0.504243	0.33476	
118.771	8063.4	8944	17007.4	4557.88	5677.71	10235.6	4386.12	2385.69	6771.81	0.509602	0.704133	0.601831	0.490398	0.295867	0.398169	0.518262	0.333328	
128.504	8063.4	8944	17007.4	4622.96	5612.63	10235.6	4321.04	2450.77	6771.81	0.516878	0.696062	0.601831	0.483122	0.303938	0.398169	0.524473	0.334033	
138.635	8063.4	8944	17007.4	4706.76	5528.83	10235.6	4237.24	2534.57	6771.81	0.526248	0.68567	0.601831	0.473752	0.31433	0.398169	0.491905	0.335443	
148.456	8063.4	8944	17007.4	4773.8	5461.79	10235.6	4170.2	2601.61	6771.81	0.533743	0.677356	0.601831	0.466257	0.322644	0.398169	0.537946	0.334413	
158.513	8063.4	8944	17007.4	4827.93	5407.65	10235.6	4116.07	2655.74	6771.81	0.539796	0.670642	0.601831	0.460204	0.329358	0.398169	0.527649	0.33425	
169.221	8063.4	8944	17007.4	4872.44	5363.15	10235.6	4071.57	2700.24	6771.81	0.544771	0.665123	0.601831	0.455229	0.334877	0.398169	0.497259	0.33456	
179.636	8063.4	8944	17007.4	4900.05	5335.54	10235.6	4043.95	2727.86	6771.81	0.547859	0.661699	0.601831	0.452141	0.338301	0.398169	0.530585	0.333578	
189.985	8063.4	8944	17007.4	4928.95	5306.64	10235.6	4015.06	2756.75	6771.81	0.55109	0.658115	0.601832	0.44891	0.341885	0.398168	0.523443	0.33384	
200.43	8063.4	8944	17007.4	4978.37	5257.22	10235.6	3965.63	2806.18	6771.81	0.556615	0.651986	0.601832	0.443385	0.348014	0.398168	0.517224	0.334113	
211.265	8063.4	8944	17007.4	4992.53	5243.06	10235.6	3951.47	2820.34	6771.81	0.558199	0.650229	0.601832	0.441801	0.349771	0.398168	0.530451	0.335052	
221.979	8063.4	8944	17007.4	5012.02	5223.57	10235.6	3931.98	2839.83	6771.81	0.560378	0.647812	0.601832	0.439622	0.352188	0.398168	0.529672	0.333858	
232.474	8063.4	8944	17007.4	5055.98	5179.61	10235.6	3888.03	2883.78	6771.81	0.565292	0.642361	0.601832	0.434708	0.357639	0.398168	0.541207	0.333692	
242.525	8063.4	8944	17007.4	5051.65	5183.94	10235.6	3892.35	2879.46	6771.81	0.564809	0.642898	0.601832	0.435191	0.357102	0.398168	0.515317	0.333493	
255.771	8063.4	8944	17007.4	5099.05	5136.54	10235.6	3844.96	2926.85	6771.81	0.570108	0.63702	0.601832	0.429892	0.36298	0.398168	0.521846	0.334275	
270.717	8063.4	8944	17007.4	5193.54	5042.04	10235.6	3750.46	3021.35	6771.81	0.580673	0.6253	0.601832	0.419327	0.3747	0.398168	0.522346	0.333875	
284.631	8063.4	8944	17007.4	5240.22	4995.37	10235.6	3703.79	3068.02	6771.81	0.585892	0.619512	0.601832	0.414108	0.380488	0.398168	0.530821	0.333679	
299.286	8063.4	8944	17007.4	5248.8	4986.79	10235.6	3695.2	3076.61	6771.81	0.586851	0.618448	0.601832	0.413149	0.381552	0.398168	0.531463	0.333605	
312.829	8063.4	8944	17007.4	5255.38	4980.21	10235.6	3688.62	3083.18	6771.81	0.587587	0.617632	0.601832	0.412413	0.382368	0.398168	0.542916	0.333315	
328.469	8063.4	8944	17007.4	5288.14	4947.45	10235.6	3655.86	3115.95	6771.81	0.59125	0.613569	0.601832	0.40875	0.386431	0.398168	0.552141	0.334537	
338.495	8063.4	8944	17007.4	5323.91	4911.68	10235.6	3620.09	3151.72	6771.81	0.595249	0.609133	0.601832	0.404751	0.390867	0.398168	0.512696	0.333247	
352.589	8063.4	8944	17007.4	5397.23	4838.35	10235.6	3546.77	3225.04	6771.81	0.603447	0.600039	0.601832	0.396553	0.399961	0.398168	0.53357	0.334306	
369.486	8063.4	8944	17007.4	5435.94	4799.65	10235.6	3508.06	3263.75	6771.81	0.607775	0.595239	0.601832	0.392225	0.404761	0.398168	0.534998	0.334207	
386.484	8063.4	8944	17007.4	5416.97	4818.61	10235.6	3527.03	3244.78	6771.81	0.605654	0.597591	0.601832	0.394346	0.402409	0.398168	0.554528	0.334109	
402.166	8063.4	8944	17007.4	5520.36	4715.23	10235.6	3423.64	3348.17	6771.81	0.617213	0.58477	0.601832	0.382787	0.41523	0.398168	0.544217	0.333896	
417.545	8063.4	8944	17007.4	5631.57	4604.02	10235.6	3312.43	3459.38	6771.81	0.629648	0.570978	0.601832	0.370352	0.429022	0.398168	0.531663	0.334607	
