time	vol_tube_outer	vol_tube_inner	vol_tube_total	vol_blue_inner	vol_blue_outer	vol_blue_total	vol_grey_inner	vol_grey_outer	vol_grey_total	ppr_blue_inner	ppr_blue_outer	ppr_blue_total	ppr_grey_inner	ppr_grey_outer	ppr_grey_total	average_capillary_pressure_inside	average_capillary_pressure_outside	
0	8063.4	8944	17007.4	0	7285.65	7285.65	8944	777.748	9721.75	0	0.903546	0.428381	1	0.0964541	0.571619	-nan	0.333284	
17.8647	8063.4	8944	17007.4	1217.28	6068.37	7285.65	7726.73	1995.02	9721.75	0.1361	0.752583	0.428381	0.8639	0.247417	0.571619	0.525844	0.333032	
26.1993	8063.4	8944	17007.4	1664.67	5620.98	7285.65	7279.33	2442.41	9721.75	0.186121	0.697099	0.428381	0.813879	0.302901	0.571619	0.510697	0.333125	
34.5121	8063.4	8944	17007.4	1936.27	5349.38	7285.65	7007.73	2714.02	9721.75	0.216488	0.663415	0.428381	0.783512	0.336585	0.571619	0.523806	0.333437	
42.8001	8063.4	8944	17007.4	2029.29	5256.35	7285.65	6914.71	2807.04	9721.75	0.226889	0.651878	0.428381	0.773111	0.348122	0.571619	0.531703	0.332882	
50.8514	8063.4	8944	17007.4	2177.59	5108.06	7285.65	6766.41	2955.34	9721.75	0.243469	0.633487	0.428381	0.756531	0.366513	0.571619	0.537346	0.333558	
59.1103	8063.4	8944	17007.4	2352.1	4933.55	7285.65	6591.9	3129.85	9721.75	0.262981	0.611845	0.428381	0.737019	0.388155	0.571619	0.561699	0.333738	
67.5062	8063.4	8944	17007.4	2498.99	4786.66	7285.65	6445.01	3276.74	9721.75	0.279404	0.593628	0.428381	0.720596	0.406372	0.571619	0.544413	0.333805	
76.8581	8063.4	8944	17007.4	2590.2	4695.45	7285.65	6353.8	3367.95	9721.75	0.289602	0.582317	0.428381	0.710398	0.417683	0.571619	0.542652	0.333746	
85.9634	8063.4	8944	17007.4	2670.36	4615.29	7285.65	6273.65	3448.1	9721.75	0.298564	0.572376	0.428381	0.701436	0.427624	0.571619	0.555811	0.33366	
