time	vol_tube_outer	vol_tube_inner	vol_tube_total	vol_blue_inner	vol_blue_outer	vol_blue_total	vol_grey_inner	vol_grey_outer	vol_grey_total	ppr_blue_inner	ppr_blue_outer	ppr_blue_total	ppr_grey_inner	ppr_grey_outer	ppr_grey_total	average_capillary_pressure_inside	average_capillary_pressure_outside	
0	8063.4	8944	17007.4	0	4952.41	4952.41	8944	3110.99	12055	0	0.614184	0.291191	1	0.385816	0.708809	-nan	0.333284	
30.319	8063.4	8944	17007.4	215.366	4737.04	4952.41	8728.64	3326.36	12055	0.0240793	0.587475	0.291191	0.975921	0.412525	0.708809	0.856402	0.333319	
41.789	8063.4	8944	17007.4	603.673	4348.73	4952.41	8340.33	3714.66	12055	0.0674948	0.539318	0.291191	0.932505	0.460682	0.708809	0.614778	0.333317	
53.2083	8063.4	8944	17007.4	753.557	4198.85	4952.41	8190.44	3864.55	12055	0.0842528	0.52073	0.291191	0.915747	0.47927	0.708809	0.523124	0.333782	
63.8867	8063.4	8944	17007.4	882.705	4069.7	4952.41	8061.3	3993.69	12055	0.0986924	0.504713	0.291191	0.901308	0.495287	0.708809	0.546242	0.332159	
76.2504	8063.4	8944	17007.4	928.802	4023.6	4952.41	8015.2	4039.79	12055	0.103846	0.498996	0.291191	0.896154	0.501004	0.708809	0.60107	0.331804	
87.6045	8063.4	8944	17007.4	1039.53	3912.88	4952.41	7904.48	4150.52	12055	0.116226	0.485265	0.291191	0.883774	0.514735	0.708809	0.57666	0.332138	
97.4296	8063.4	8944	17007.4	1053	3899.4	4952.41	7891	4163.99	12055	0.117733	0.483593	0.291191	0.882267	0.516407	0.708809	0.564488	0.333086	
112.703	8063.4	8944	17007.4	1144.41	3807.99	4952.41	7799.59	4255.4	12055	0.127953	0.472257	0.291191	0.872047	0.527743	0.708809	0.661497	0.332862	
123.141	8063.4	8944	17007.4	1214.12	3738.28	4952.41	7729.88	4325.11	12055	0.135747	0.463612	0.291191	0.864253	0.536388	0.708809	0.592828	0.334391	
132.475	8063.4	8944	17007.4	1296.04	3656.36	4952.41	7647.96	4407.03	12055	0.144906	0.453452	0.291191	0.855094	0.546548	0.708809	0.5544	0.333083	
142.025	8063.4	8944	17007.4	1371.94	3580.46	4952.41	7572.06	4482.93	12055	0.153393	0.444039	0.291191	0.846607	0.555961	0.708809	0.55343	0.332225	
152.234	8063.4	8944	17007.4	1423.54	3528.87	4952.41	7520.46	4534.53	12055	0.159161	0.43764	0.291191	0.840839	0.56236	0.708809	0.572129	0.33226	
161.147	8063.4	8944	17007.4	1522.54	3429.87	4952.41	7421.46	4633.53	12055	0.17023	0.425363	0.291191	0.82977	0.574637	0.708809	0.57613	0.333556	
170.788	8063.4	8944	17007.4	1601.64	3350.76	4952.41	7342.36	4712.63	12055	0.179074	0.415553	0.291191	0.820926	0.584447	0.708809	0.528535	0.332122	
180.068	8063.4	8944	17007.4	1688.58	3263.83	4952.41	7255.42	4799.57	12055	0.188794	0.404771	0.291191	0.811206	0.595229	0.708809	0.566212	0.333173	
189.184	8063.4	8944	17007.4	1764.96	3187.45	4952.41	7179.05	4875.95	12055	0.197334	0.395299	0.291191	0.802666	0.604701	0.708809	0.520575	0.332723	
198.655	8063.4	8944	17007.4	1774.59	3177.81	4952.41	7169.41	4885.58	12055	0.198412	0.394103	0.291191	0.801588	0.605897	0.708809	0.555145	0.333068	
207.893	8063.4	8944	17007.4	1775.59	3176.82	4952.41	7168.41	4886.58	12055	0.198523	0.39398	0.291191	0.801477	0.60602	0.708809	0.556233	0.333143	
217.194	8063.4	8944	17007.4	1844.64	3107.76	4952.41	7099.36	4955.63	12055	0.206244	0.385416	0.291191	0.793756	0.614584	0.708809	0.562013	0.333106	
226.389	8063.4	8944	17007.4	1878.21	3074.19	4952.41	7065.79	4989.2	12055	0.209997	0.381253	0.291191	0.790003	0.618747	0.708809	0.555941	0.333303	
235.353	8063.4	8944	17007.4	2012.71	2939.69	4952.41	6931.29	5123.7	12055	0.225035	0.364572	0.291191	0.774965	0.635428	0.708809	0.574629	0.334355	
244.657	8063.4	8944	17007.4	2010.92	2941.49	4952.41	6933.08	5121.91	12055	0.224834	0.364795	0.291191	0.775166	0.635205	0.708809	0.55333	0.333557	
253.531	8063.4	8944	17007.4	2052.85	2899.56	4952.41	6891.15	5163.84	12055	0.229522	0.359595	0.291191	0.770478	0.640405	0.708809	0.555802	0.333777	
262.755	8063.4	8944	17007.4	2155.88	2796.53	4952.41	6788.13	5266.87	12055	0.241041	0.346818	0.291191	0.758959	0.653182	0.708809	0.509861	0.332794	
272.267	8063.4	8944	17007.4	2181.41	2770.99	4952.41	6762.59	5292.4	12055	0.243897	0.343651	0.291191	0.756103	0.656349	0.708809	0.580568	0.333756	
283.092	8063.4	8944	17007.4	2155.71	2796.7	4952.41	6788.3	5266.7	12055	0.241023	0.346839	0.291191	0.758977	0.653161	0.708809	0.510152	0.333494	
292.601	8063.4	8944	17007.4	2166.51	2785.89	4952.41	6777.49	5277.5	12055	0.242231	0.345499	0.291191	0.757769	0.654501	0.708809	0.564519	0.333774	
301.368	8063.4	8944	17007.4	2172.08	2780.32	4952.41	6771.92	5283.07	12055	0.242854	0.344808	0.291191	0.757146	0.655192	0.708809	0.569692	0.333891	
311.302	8063.4	8944	17007.4	2210.22	2742.18	4952.41	6733.78	5321.21	12055	0.247118	0.340078	0.291191	0.752882	0.659922	0.708809	0.542527	0.334133	
320.591	8063.4	8944	17007.4	2247.37	2705.04	4952.41	6696.63	5358.36	12055	0.251271	0.335471	0.291191	0.748729	0.664529	0.708809	0.545507	0.334252	
329.742	8063.4	8944	17007.4	2240.53	2711.88	4952.41	6703.48	5351.52	12055	0.250506	0.33632	0.291191	0.749494	0.66368	0.708809	0.574219	0.333998	
338.941	8063.4	8944	17007.4	2275	2677.41	4952.41	6669	5385.99	12055	0.25436	0.332045	0.291191	0.74564	0.667955	0.708809	0.572072	0.334834	
